,year,month,value
290,1999,3,2.386
291,1999,4,3.033
292,1999,5,4.012
293,1999,6,1.472
294,1999,7,1.916
295,1999,8,2.353
296,1999,9,2.04
297,1999,10,1.69
298,1999,11,3.292
299,1999,12,4.142
300,2000,1,3.641
301,2000,2,3.545
302,2000,3,1.951
303,2000,4,4.477
304,2000,5,2.475
305,2000,6,2.031
306,2000,7,1.954
307,2000,8,1.41
308,2000,9,1.507
309,2000,10,2.585
310,2000,11,1.044
311,2000,12,5.091
312,2001,1,4.531
313,2001,2,6.083
314,2001,3,3.73
315,2001,4,2.091
316,2001,5,2.768
317,2001,6,2.996
318,2001,7,2.42
319,2001,8,1.396
320,2001,9,2.56
321,2001,10,2.742
322,2001,11,2.411
323,2001,12,4.581
324,2002,1,4.41
325,2002,2,2.712
326,2002,3,2.176
327,2002,4,1.543
328,2002,5,2.373
329,2002,6,2.438
330,2002,7,2.051
331,2002,8,1.326
332,2002,9,3.904
333,2002,10,3.283
334,2002,11,2.625
335,2002,12,3.576
336,2003,1,6.587
337,2003,2,2.59
338,2003,3,3.372
339,2003,4,3.381
340,2003,5,2.698
341,2003,6,1.573
342,2003,7,2.396
343,2003,8,3.036
344,2003,9,3.051
345,2003,10,3.514
346,2003,11,2.092
347,2003,12,3.662
348,2004,1,3.739
349,2004,2,2.767
350,2004,3,3.466
351,2004,4,2.48
352,2004,5,3.104
353,2004,6,1.988
354,2004,7,1.593
355,2004,8,3.796
356,2004,9,2.126
357,2004,10,2.339
358,2004,11,4.171
359,2004,12,2.811
360,2005,1,2.876
361,2005,2,2.87
362,2005,3,4.671
363,2005,4,1.864
364,2005,5,1.979
365,2005,6,2.886
366,2005,7,2.862
367,2005,8,1.989
368,2005,9,2.134
369,2005,10,4.093
370,2005,11,4.646
371,2005,12,2.361
372,2006,1,3.251
373,2006,2,3.364
374,2006,3,3.855
375,2006,4,2.246
376,2006,5,3.434
377,2006,6,2.23
378,2006,7,2.115
379,2006,8,1.949
380,2006,9,1.102
381,2006,10,3.319
382,2006,11,3.109
383,2006,12,3.566
384,2007,1,4.455
385,2007,2,4.23
386,2007,3,2.186
387,2007,4,3.075
388,2007,5,1.659
389,2007,6,3.67
390,2007,7,1.268
391,2007,8,3.043
392,2007,9,2.286
393,2007,10,2.52
394,2007,11,2.265
395,2007,12,5.027
396,2008,1,1.896
397,2008,2,2.464
398,2008,3,3.025
399,2008,4,3.331
400,2008,5,3.583
401,2008,6,3.642
402,2008,7,3.461
403,2008,8,1.548
404,2008,9,1.996
405,2008,10,2.838
406,2008,11,2.085
407,2008,12,2.855
408,2009,1,3.746
409,2009,2,2.986
410,2009,3,1.735
411,2009,4,2.646
412,2009,5,2.377
413,2009,6,4.643
414,2009,7,2.936
415,2009,8,1.779
416,2009,9,2.113
417,2009,10,1.807
418,2009,11,2.161
419,2009,12,5.433
420,2010,1,4.736
421,2010,2,3.795
422,2010,3,2.949
423,2010,4,1.908
424,2010,5,3.937
425,2010,6,1.757
426,2010,7,1.34
427,2010,8,2.469
428,2010,9,2.38
429,2010,10,3.415
430,2010,11,4.54
431,2010,12,3.421
432,2011,1,2.964
433,2011,2,4.531
434,2011,3,2.689
435,2011,4,3.371
436,2011,5,2.413
437,2011,6,1.935
438,2011,7,1.812
439,2011,8,2.486
440,2011,9,1.869
441,2011,10,2.887
442,2011,11,3.366
443,2011,12,2.997
444,2012,1,2.6
445,2012,2,4.969
446,2012,3,3.64
447,2012,4,2.49
448,2012,5,4.918
449,2012,6,2.159
