,year,month,value
248,1995,9,11.35
249,1995,10,9.6
250,1995,11,-1.1
251,1995,12,-5.1
252,1996,1,-5.85
253,1996,2,-7.75
254,1996,3,-0.7
255,1996,4,5.6
256,1996,5,7.6
257,1996,6,14.525
258,1996,7,15.65
259,1996,8,18.9
260,1996,9,9.6
261,1996,10,7.7
262,1996,11,-0.275
263,1996,12,-3.95
264,1997,1,-2.25
265,1997,2,0.925
266,1997,3,3.35
267,1997,4,4.975
268,1997,5,9.6
269,1997,6,15.75
270,1997,7,19.35
271,1997,8,21.1
272,1997,9,11.65
273,1997,10,4.5
274,1997,11,1.3
275,1997,12,-1.25
276,1998,1,-0.4
277,1998,2,1.975
278,1998,3,1.35
279,1998,4,3.2
280,1998,5,10.85
281,1998,6,13.075
282,1998,7,15.55
283,1998,8,14.35
284,1998,9,13.225
285,1998,10,6.1
286,1998,11,-0.225
287,1998,12,-0.2
288,1999,1,-0.9
289,1999,2,-1.725
290,1999,3,0.1
291,1999,4,6.05
292,1999,5,10.45
293,1999,6,14.05
294,1999,7,17.35
295,1999,8,15.5
296,1999,9,13.75
297,1999,10,6.0
298,1999,11,4.45
299,1999,12,-2.75
300,2000,1,0.25
301,2000,2,-1.05
302,2000,3,2.0
303,2000,4,5.375
304,2000,5,12.4
305,2000,6,13.575
306,2000,7,16.75
307,2000,8,15.3
308,2000,9,10.95
309,2000,10,9.95
310,2000,11,5.825
311,2000,12,3.25
312,2001,1,-2.3
313,2001,2,-5.55
314,2001,3,-1.85
315,2001,4,4.125
316,2001,5,11.45
317,2001,6,13.875
318,2001,7,17.75
319,2001,8,15.85
320,2001,9,12.25
321,2001,10,8.95
322,2001,11,1.65
323,2001,12,-2.25
324,2002,1,-3.85
325,2002,2,0.45
326,2002,3,2.7
327,2002,4,6.625
328,2002,5,13.05
329,2002,6,16.125
330,2002,7,17.15
331,2002,8,20.55
332,2002,9,13.65
333,2002,10,3.1
334,2002,11,-1.35
335,2002,12,-5.0
336,2003,1,-2.15
337,2003,2,-2.6
338,2003,3,2.8
339,2003,4,5.175
340,2003,5,9.75
341,2003,6,16.0
342,2003,7,18.35
343,2003,8,17.85
344,2003,9,13.975
345,2003,10,3.25
346,2003,11,2.925
347,2003,12,1.25
348,2004,1,-2.7
349,2004,2,-2.0
350,2004,3,1.75
351,2004,4,7.025
352,2004,5,11.75
353,2004,6,14.825
354,2004,7,15.85
355,2004,8,17.95
356,2004,9,12.325
357,2004,10,6.5
358,2004,11,2.4
359,2004,12,0.3
360,2005,1,1.3
361,2005,2,-0.6
362,2005,3,-0.45
363,2005,4,6.875
364,2005,5,9.65
365,2005,6,14.575
366,2005,7,17.95
367,2005,8,15.75
368,2005,9,12.975
369,2005,10,9.85
370,2005,11,4.775
371,2005,12,-1.15
372,2006,1,-2.8
373,2006,2,-2.875
374,2006,3,-2.75
375,2006,4,4.925
376,2006,5,11.05
377,2006,6,15.55
378,2006,7,20.3
379,2006,8,17.75
380,2006,9,15.3
381,2006,10,9.55
382,2006,11,4.4
383,2006,12,2.6
384,2007,1,-0.35
385,2007,2,-2.375
386,2007,3,3.65
387,2007,4,8.0
388,2007,5,11.0
389,2007,6,16.35
390,2007,7,15.75
391,2007,8,16.35
392,2007,9,11.1
393,2007,10,6.7
394,2007,11,1.175
395,2007,12,1.1
396,2008,1,1.05
397,2008,2,2.1
398,2008,3,1.15
399,2008,4,5.55
400,2008,5,11.95
401,2008,6,14.25
402,2008,7,17.5
403,2008,8,15.15
404,2008,9,11.25
405,2008,10,6.95
406,2008,11,1.875
407,2008,12,-0.95
408,2009,1,-2.55
409,2009,2,-5.1
410,2009,3,0.85
411,2009,4,7.675
412,2009,5,11.5
413,2009,6,14.0
414,2009,7,16.4
415,2009,8,15.95
416,2009,9,13.15
417,2009,10,4.9
418,2009,11,4.0
419,2009,12,-3.0
420,2010,1,-8.1
421,2010,2,-6.3
422,2010,3,1.05
423,2010,4,5.875
424,2010,5,10.5
425,2010,6,15.575
426,2010,7,18.1
427,2010,8,16.6
428,2010,9,11.05
429,2010,10,5.35
430,2010,11,-1.6
431,2010,12,-9.4
432,2011,1,-4.15
433,2011,2,-3.775
434,2011,3,-0.25
435,2011,4,10.425
436,2011,5,11.35
437,2011,6,15.65
438,2011,7,18.2
439,2011,8,15.85
440,2011,9,12.7
441,2011,10,7.65
442,2011,11,5.1
443,2011,12,0.85
444,2012,1,-2.75
445,2012,2,-1.05
446,2012,3,5.1
447,2012,4,4.975
448,2012,5,10.55
449,2012,6,14.025
450,2012,7,16.0
451,2012,8,16.15
452,2012,9,10.625
453,2012,10,4.85
454,2012,11,3.75
455,2012,12,-5.45
456,2013,1,-3.65
457,2013,2,-2.95
458,2013,3,-1.75
459,2013,4,4.725
