,year,month,value
253,1996,2,1.155
254,1996,3,0.008
255,1996,4,0.885
256,1996,5,2.355
257,1996,6,1.467
258,1996,7,1.195
259,1996,8,2.411
260,1996,9,3.188
261,1996,10,3.469
262,1996,11,3.103
263,1996,12,1.487
264,1997,1,0.648
265,1997,2,2.452
266,1997,3,0.366
267,1997,4,0.097
268,1997,5,2.026
269,1997,6,2.237
270,1997,7,1.611
271,1997,8,1.469
272,1997,9,3.077
273,1997,10,2.348
274,1997,11,1.647
275,1997,12,1.49
276,1998,1,1.465
277,1998,2,0.911
278,1998,3,1.513
279,1998,4,3.02
280,1998,5,0.6
281,1998,6,4.007
282,1998,7,2.571
283,1998,8,3.603
284,1998,9,2.607
285,1998,10,3.313
286,1998,11,1.083
287,1998,12,1.421
288,1999,1,2.947
289,1999,2,1.332
290,1999,3,4.232
291,1999,4,1.562
292,1999,5,1.327
293,1999,6,4.765
294,1999,7,2.137
295,1999,8,0.981
296,1999,9,5.443
297,1999,10,3.227
298,1999,11,0.867
299,1999,12,2.179
300,2000,1,0.894
301,2000,2,1.152
302,2000,3,0.887
303,2000,4,2.557
304,2000,5,3.052
305,2000,6,2.487
306,2000,7,2.281
307,2000,8,4.816
308,2000,9,1.753
309,2000,10,6.235
310,2000,11,9.433
311,2000,12,2.874
312,2001,1,2.51
313,2001,2,0.948
314,2001,3,1.347
315,2001,4,2.798
316,2001,5,2.676
317,2001,6,1.658
318,2001,7,2.502
319,2001,8,3.01
320,2001,9,2.302
321,2001,10,4.915
322,2001,11,1.078
323,2001,12,0.982
324,2002,1,2.439
325,2002,2,2.071
326,2002,3,1.042
327,2002,4,1.397
328,2002,5,3.156
329,2002,6,2.028
330,2002,7,4.276
331,2002,8,1.205
332,2002,9,3.145
333,2002,10,3.235
334,2002,11,2.605
335,2002,12,0.897
336,2003,1,1.292
337,2003,2,2.007
338,2003,3,0.987
339,2003,4,1.543
340,2003,5,2.706
341,2003,6,2.59
342,2003,7,3.494
343,2003,8,2.213
344,2003,9,2.257
345,2003,10,0.987
346,2003,11,2.12
347,2003,12,1.826
348,2004,1,3.513
349,2004,2,0.831
350,2004,3,1.165
351,2004,4,1.81
352,2004,5,1.274
353,2004,6,2.49
354,2004,7,1.645
355,2004,8,2.744
356,2004,9,3.382
357,2004,10,3.232
358,2004,11,1.553
359,2004,12,1.052
360,2005,1,1.158
361,2005,2,0.379
362,2005,3,0.781
363,2005,4,1.003
364,2005,5,3.203
365,2005,6,1.397
366,2005,7,2.856
367,2005,8,3.01
368,2005,9,1.325
369,2005,10,2.961
370,2005,11,3.645
371,2005,12,1.3
372,2006,1,1.277
373,2006,2,2.405
374,2006,3,1.406
375,2006,4,1.81
376,2006,5,2.468
377,2006,6,1.92
378,2006,7,1.385
379,2006,8,3.473
380,2006,9,2.487
381,2006,10,4.819
382,2006,11,4.907
383,2006,12,2.184
384,2007,1,2.361
385,2007,2,1.325
386,2007,3,0.921
387,2007,4,1.637
388,2007,5,2.679
389,2007,6,4.487
390,2007,7,5.91
391,2007,8,1.981
392,2007,9,2.227
393,2007,10,0.484
394,2007,11,2.943
395,2007,12,1.535
396,2008,1,3.619
397,2008,2,2.447
398,2008,3,2.435
399,2008,4,2.23
400,2008,5,0.661
401,2008,6,1.713
402,2008,7,5.142
403,2008,8,5.792
404,2008,9,1.542
405,2008,10,4.171
406,2008,11,2.355
407,2008,12,0.992
408,2009,1,1.858
409,2009,2,2.468
410,2009,3,1.858
411,2009,4,1.833
412,2009,5,2.416
413,2009,6,1.033
414,2009,7,5.245
415,2009,8,4.927
416,2009,9,0.918
417,2009,10,1.765
418,2009,11,4.187
419,2009,12,2.166
420,2010,1,0.434
421,2010,2,1.32
422,2010,3,1.565
423,2010,4,1.617
424,2010,5,0.882
425,2010,6,2.83
426,2010,7,3.553
427,2010,8,4.939
428,2010,9,2.968
429,2010,10,2.719
430,2010,11,0.797
431,2010,12,0.497
432,2011,1,1.523
433,2011,2,1.9
434,2011,3,0.582
435,2011,4,1.245
436,2011,5,2.448
437,2011,6,4.968
438,2011,7,3.444
439,2011,8,6.232
440,2011,9,4.863
441,2011,10,2.429
442,2011,11,0.507
443,2011,12,2.258
444,2012,1,1.752
445,2012,2,0.49
446,2012,3,0.574
447,2012,4,2.377
448,2012,5,1.879
449,2012,6,3.12
450,2012,7,4.832
451,2012,8,3.145
452,2012,9,2.812
453,2012,10,3.9
454,2012,11,4.838
455,2012,12,2.155
456,2013,1,1.25
457,2013,2,0.646
458,2013,3,0.281
459,2013,4,1.353
460,2013,5,2.884
461,2013,6,4.213
462,2013,7,0.752
463,2013,8,3.829
464,2013,9,1.313
465,2013,10,2.998
466,2013,11,1.695
467,2013,12,3.468
468,2014,1,2.345
469,2014,2,4.679
470,2014,3,1.802
471,2014,4,1.84
472,2014,5,1.855
473,2014,6,3.707
474,2014,7,1.674
475,2014,8,3.529
476,2014,9,1.413
477,2014,10,6.894
478,2014,11,3.293
479,2014,12,0.887
480,2015,1,3.585
481,2015,2,0.984
482,2015,3,1.994
483,2015,4,0.565
484,2015,5,3.439
485,2015,6,2.288
486,2015,7,2.855
487,2015,8,4.215
488,2015,9,5.275
489,2015,10,0.268
490,2015,11,2.517
491,2015,12,1.85
492,2016,1,1.382
493,2016,2,1.738
494,2016,3,1.519
495,2016,4,2.897
496,2016,5,2.035
497,2016,6,2.128
498,2016,7,2.661
499,2016,8,4.635
500,2016,9,1.365
501,2016,10,0.515
502,2016,11,2.235
503,2016,12,0.631
504,2017,1,0.824
505,2017,2,2.05
506,2017,3,1.332
507,2017,4,1.778
508,2017,5,2.537
509,2017,6,3.003
510,2017,7,3.19
511,2017,8,5.118
512,2017,9,3.315
513,2017,10,3.574
514,2017,11,2.613
515,2017,12,1.623
516,2018,1,2.803
517,2018,2,1.825
518,2018,3,0.439
519,2018,4,1.187
520,2018,5,0.906
521,2018,6,1.292
522,2018,7,0.513
523,2018,8,1.842
524,2018,9,4.157
525,2018,10,1.352
526,2018,11,3.392
527,2018,12,1.918
528,2019,1,1.158
529,2019,2,2.886
530,2019,3,2.368
531,2019,4,0.377
532,2019,5,2.677
533,2019,6,4.16
534,2019,7,1.884
535,2019,8,4.097
536,2019,9,5.685
537,2019,10,3.502
538,2019,11,3.742
539,2019,12,1.839
540,2020,1,2.427
541,2020,2,1.217
542,2020,3,1.387
543,2020,4,1.077
544,2020,5,1.468
545,2020,6,3.802
546,2020,7,5.147
547,2020,8,1.792
548,2020,9,2.548
549,2020,10,6.644
550,2020,11,2.702
551,2020,12,5.138
