,year,month,value
253,1996,2,2.2
254,1996,3,2.8
255,1996,4,2.2
256,1996,5,3.6
257,1996,6,3.1
258,1996,7,2.7
259,1996,8,2.6
260,1996,9,1.85
261,1996,10,2.4
262,1996,11,2.4
263,1996,12,1.5
264,1997,1,1.4
265,1997,2,2.65
266,1997,3,3.1
267,1997,4,3.4
268,1997,5,2.6
269,1997,6,3.0
270,1997,7,2.4
271,1997,8,2.4
272,1997,9,2.5
273,1997,10,2.6
274,1997,11,2.4
275,1997,12,1.9
276,1998,1,2.2
277,1998,2,2.15
278,1998,3,2.6
279,1998,4,2.85
280,1998,5,3.1
281,1998,6,2.8
282,1998,7,2.4
283,1998,8,2.8
284,1998,9,2.85
285,1998,10,2.4
286,1998,11,2.15
287,1998,12,2.1
288,1999,1,2.3
289,1999,2,1.95
290,1999,3,2.6
291,1999,4,2.65
292,1999,5,3.1
293,1999,6,3.2
294,1999,7,2.8
295,1999,8,2.6
296,1999,9,2.2
297,1999,10,2.4
298,1999,11,2.75
299,1999,12,2.8
300,2000,1,2.0
301,2000,2,2.1
302,2000,3,2.2
303,2000,4,2.7
304,2000,5,2.7
305,2000,6,3.75
306,2000,7,2.4
307,2000,8,2.4
308,2000,9,2.75
309,2000,10,3.1
310,2000,11,2.15
311,2000,12,2.4
312,2001,1,1.7
313,2001,2,2.2
314,2001,3,2.2
315,2001,4,2.8
316,2001,5,3.1
317,2001,6,2.9
318,2001,7,2.9
319,2001,8,2.1
320,2001,9,2.3
321,2001,10,2.1
322,2001,11,1.9
323,2001,12,1.7
324,2002,1,1.5
325,2002,2,2.4
326,2002,3,2.6
327,2002,4,2.6
328,2002,5,2.9
329,2002,6,3.0
330,2002,7,2.9
331,2002,8,1.9
332,2002,9,2.1
333,2002,10,2.7
334,2002,11,3.45
335,2002,12,2.4
336,2003,1,1.9
337,2003,2,1.4
338,2003,3,1.7
339,2003,4,2.9
340,2003,5,2.1
341,2003,6,1.9
342,2003,7,1.7
343,2003,8,1.9
344,2003,9,2.55
345,2003,10,2.1
346,2003,11,2.1
347,2003,12,2.4
348,2004,1,2.0
349,2004,2,2.1
350,2004,3,2.4
351,2004,4,2.8
352,2004,5,3.4
353,2004,6,3.1
354,2004,7,2.6
355,2004,8,2.9
356,2004,9,2.45
357,2004,10,2.7
358,2004,11,2.5
359,2004,12,1.7
360,2005,1,2.6
361,2005,2,3.45
362,2005,3,1.9
363,2005,4,2.85
364,2005,5,3.1
365,2005,6,2.85
366,2005,7,2.3
367,2005,8,2.8
368,2005,9,2.55
369,2005,10,1.8
370,2005,11,2.2
371,2005,12,2.2
372,2006,1,3.0
373,2006,2,2.1
374,2006,3,2.65
375,2006,4,2.4
376,2006,5,2.7
377,2006,6,2.8
378,2006,7,2.4
379,2006,8,2.4
380,2006,9,1.85
381,2006,10,1.7
382,2006,11,1.95
383,2006,12,1.6
384,2007,1,2.5
385,2007,2,3.15
386,2007,3,2.3
387,2007,4,2.55
388,2007,5,3.0
389,2007,6,2.5
390,2007,7,2.2
391,2007,8,2.6
392,2007,9,2.85
393,2007,10,1.6
394,2007,11,2.35
395,2007,12,1.7
396,2008,1,3.0
397,2008,2,2.0
398,2008,3,3.0
399,2008,4,2.25
400,2008,5,2.3
401,2008,6,2.5
402,2008,7,2.2
403,2008,8,2.4
404,2008,9,2.0
405,2008,10,2.5
406,2008,11,2.4
407,2008,12,2.0
408,2009,1,1.9
409,2009,2,1.4
410,2009,3,2.2
411,2009,4,2.2
412,2009,5,2.7
413,2009,6,2.55
414,2009,7,2.3
415,2009,8,2.0
416,2009,9,2.6
417,2009,10,2.3
418,2009,11,2.55
419,2009,12,2.4
420,2010,1,1.9
421,2010,2,1.95
422,2010,3,1.5
423,2010,4,2.2
424,2010,5,2.7
425,2010,6,2.6
426,2010,7,2.9
427,2010,8,2.6
428,2010,9,2.85
429,2010,10,2.1
430,2010,11,3.85
431,2010,12,1.8
432,2011,1,1.5
433,2011,2,1.85
434,2011,3,2.2
435,2011,4,2.35
436,2011,5,2.7
437,2011,6,2.6
438,2011,7,2.5
439,2011,8,2.2
440,2011,9,2.2
441,2011,10,2.3
442,2011,11,1.65
443,2011,12,2.4
444,2012,1,2.4
445,2012,2,2.1
446,2012,3,2.3
447,2012,4,2.75
448,2012,5,2.9
449,2012,6,2.7
450,2012,7,2.6
451,2012,8,2.3
452,2012,9,2.8
453,2012,10,2.0
454,2012,11,2.7
455,2012,12,2.9
456,2013,1,1.8
457,2013,2,1.65
458,2013,3,2.4
459,2013,4,3.05
460,2013,5,3.2
461,2013,6,3.0
462,2013,7,2.4
463,2013,8,2.3
464,2013,9,2.05
465,2013,10,2.0
466,2013,11,2.1
467,2013,12,2.6
468,2014,1,3.5
469,2014,2,2.7
470,2014,3,2.6
471,2014,4,2.5
472,2014,5,2.7
473,2014,6,2.85
474,2014,7,2.2
475,2014,8,2.3
476,2014,9,2.0
477,2014,10,2.7
478,2014,11,2.6
479,2014,12,1.5
480,2015,1,2.6
481,2015,2,2.45
482,2015,3,2.6
483,2015,4,2.75
484,2015,5,2.9
485,2015,6,2.7
486,2015,7,2.9
487,2015,8,2.6
488,2015,9,2.25
489,2015,10,2.0
490,2015,11,1.7
491,2015,12,2.5
492,2016,1,2.7
493,2016,2,1.9
494,2016,3,2.4
495,2016,4,3.0
496,2016,5,2.9
497,2016,6,2.65
498,2016,7,2.4
499,2016,8,2.6
500,2016,9,2.25
501,2016,10,3.3
502,2016,11,2.3
503,2016,12,1.6
504,2017,1,1.5
505,2017,2,1.8
506,2017,3,2.7
507,2017,4,2.6
508,2017,5,2.4
509,2017,6,2.8
510,2017,7,2.8
511,2017,8,2.5
512,2017,9,2.75
513,2017,10,2.4
514,2017,11,1.95
515,2017,12,1.8
516,2018,1,2.3
517,2018,2,2.65
518,2018,3,2.5
519,2018,4,2.4
520,2018,5,2.5
521,2018,6,2.9
522,2018,7,2.6
523,2018,8,2.3
524,2018,9,3.05
525,2018,10,2.5
526,2018,11,2.25
527,2018,12,2.0
528,2019,1,1.9
529,2019,2,2.2
530,2019,3,2.7
531,2019,4,2.7
532,2019,5,3.3
533,2019,6,2.85
534,2019,7,2.7
535,2019,8,2.2
536,2019,9,2.7
537,2019,10,2.1
538,2019,11,3.3
539,2019,12,2.3
540,2020,1,2.3
541,2020,2,2.9
542,2020,3,3.4
543,2020,4,3.1
544,2020,5,2.9
545,2020,6,2.4
546,2020,7,2.5
547,2020,8,2.3
548,2020,9,2.55
549,2020,10,2.5
550,2020,11,1.8
551,2020,12,3.05
