,year,month,value
253,1996,2,3.0
254,1996,3,0.037
255,1996,4,1.859
256,1996,5,2.954
257,1996,6,3.357
258,1996,7,2.33
259,1996,8,4.923
260,1996,9,7.21
261,1996,10,5.44
262,1996,11,4.087
263,1996,12,3.903
264,1997,1,2.023
265,1997,2,4.436
266,1997,3,1.37
267,1997,4,0.22
268,1997,5,3.058
269,1997,6,4.279
270,1997,7,3.386
271,1997,8,3.138
272,1997,9,5.787
273,1997,10,5.43
274,1997,11,2.924
275,1997,12,2.108
276,1998,1,2.639
277,1998,2,1.499
278,1998,3,3.97
279,1998,4,4.183
280,1998,5,1.624
281,1998,6,5.39
282,1998,7,3.117
283,1998,8,5.28
284,1998,9,5.179
285,1998,10,5.428
286,1998,11,2.768
287,1998,12,2.655
288,1999,1,3.951
289,1999,2,2.706
290,1999,3,4.423
291,1999,4,2.63
292,1999,5,2.56
293,1999,6,4.44
294,1999,7,3.827
295,1999,8,2.88
296,1999,9,9.772
297,1999,10,5.518
298,1999,11,1.29
299,1999,12,3.426
300,2000,1,1.792
301,2000,2,2.609
302,2000,3,2.416
303,2000,4,3.943
304,2000,5,4.829
305,2000,6,4.314
306,2000,7,3.65
307,2000,8,7.863
308,2000,9,3.89
309,2000,10,8.356
310,2000,11,6.426
311,2000,12,3.858
312,2001,1,3.599
313,2001,2,2.123
314,2001,3,3.237
315,2001,4,4.31
316,2001,5,5.989
317,2001,6,3.195
318,2001,7,4.172
319,2001,8,4.37
320,2001,9,3.323
321,2001,10,7.258
322,2001,11,3.004
323,2001,12,1.886
324,2002,1,4.018
325,2002,2,2.774
326,2002,3,2.566
327,2002,4,2.509
328,2002,5,5.738
329,2002,6,3.483
330,2002,7,5.697
331,2002,8,3.125
332,2002,9,8.949
333,2002,10,7.109
334,2002,11,5.13
335,2002,12,2.35
336,2003,1,2.932
337,2003,2,4.578
338,2003,3,2.003
339,2003,4,3.796
340,2003,5,2.865
341,2003,6,5.429
342,2003,7,5.274
343,2003,8,4.433
344,2003,9,4.734
345,2003,10,2.059
346,2003,11,2.697
347,2003,12,3.802
348,2004,1,4.662
349,2004,2,1.974
350,2004,3,2.346
351,2004,4,3.576
352,2004,5,2.417
353,2004,6,3.478
354,2004,7,2.704
355,2004,8,4.894
356,2004,9,6.219
357,2004,10,4.952
358,2004,11,2.686
359,2004,12,2.023
360,2005,1,2.029
361,2005,2,1.207
362,2005,3,1.966
363,2005,4,2.675
364,2005,5,4.531
365,2005,6,2.709
366,2005,7,6.952
367,2005,8,4.794
368,2005,9,2.663
369,2005,10,4.079
370,2005,11,6.482
371,2005,12,1.721
372,2006,1,2.479
373,2006,2,4.582
374,2006,3,2.939
375,2006,4,2.277
376,2006,5,4.011
377,2006,6,3.46
378,2006,7,3.927
379,2006,8,4.733
380,2006,9,5.907
381,2006,10,5.456
382,2006,11,6.339
383,2006,12,3.789
384,2007,1,2.868
385,2007,2,1.432
386,2007,3,1.806
387,2007,4,3.178
388,2007,5,4.098
389,2007,6,9.093
390,2007,7,7.453
391,2007,8,5.09
392,2007,9,3.866
393,2007,10,1.095
394,2007,11,6.332
395,2007,12,2.836
396,2008,1,4.443
397,2008,2,4.99
398,2008,3,3.388
399,2008,4,3.212
400,2008,5,1.306
401,2008,6,3.345
402,2008,7,11.085
403,2008,8,9.094
404,2008,9,3.495
405,2008,10,7.291
406,2008,11,3.733
407,2008,12,1.589
408,2009,1,3.958
409,2009,2,3.719
410,2009,3,3.114
411,2009,4,4.549
412,2009,5,3.53
413,2009,6,2.567
414,2009,7,7.19
415,2009,8,6.934
416,2009,9,2.59
417,2009,10,3.375
418,2009,11,4.37
419,2009,12,4.272
420,2010,1,0.666
421,2010,2,1.893
422,2010,3,3.308
423,2010,4,4.163
424,2010,5,1.626
425,2010,6,6.985
426,2010,7,5.014
427,2010,8,5.962
428,2010,9,5.627
429,2010,10,5.176
430,2010,11,1.265
431,2010,12,1.077
432,2011,1,2.509
433,2011,2,2.821
434,2011,3,1.398
435,2011,4,2.825
436,2011,5,4.864
437,2011,6,8.136
438,2011,7,6.057
439,2011,8,7.673
440,2011,9,7.145
441,2011,10,4.231
442,2011,11,1.058
443,2011,12,3.717
444,2012,1,2.683
445,2012,2,0.776
446,2012,3,2.198
447,2012,4,4.174
448,2012,5,3.228
449,2012,6,3.902
450,2012,7,5.954
451,2012,8,3.699
452,2012,9,4.592
453,2012,10,4.766
454,2012,11,5.88
455,2012,12,3.706
456,2013,1,2.393
457,2013,2,1.286
458,2013,3,1.208
459,2013,4,2.501
460,2013,5,5.106
461,2013,6,5.445
462,2013,7,2.003
463,2013,8,4.596
464,2013,9,3.023
465,2013,10,5.06
466,2013,11,4.415
467,2013,12,3.836
468,2014,1,2.954
469,2014,2,4.826
470,2014,3,3.036
471,2014,4,3.261
472,2014,5,4.201
473,2014,6,9.58
474,2014,7,2.775
475,2014,8,5.544
476,2014,9,4.196
477,2014,10,8.157
478,2014,11,5.23
479,2014,12,1.45
480,2015,1,3.781
481,2015,2,2.004
482,2015,3,3.931
483,2015,4,1.107
484,2015,5,4.027
485,2015,6,3.312
486,2015,7,3.8
487,2015,8,11.986
488,2015,9,8.865
489,2015,10,0.698
490,2015,11,4.498
491,2015,12,3.159
492,2016,1,2.466
493,2016,2,3.203
494,2016,3,2.531
495,2016,4,5.19
496,2016,5,4.698
497,2016,6,3.878
498,2016,7,3.978
499,2016,8,6.923
500,2016,9,2.952
501,2016,10,0.949
502,2016,11,2.578
503,2016,12,1.39
504,2017,1,1.781
505,2017,2,3.983
506,2017,3,2.345
507,2017,4,3.505
508,2017,5,5.32
509,2017,6,5.95
510,2017,7,6.574
511,2017,8,8.797
512,2017,9,5.577
513,2017,10,5.652
514,2017,11,4.848
515,2017,12,2.857
516,2018,1,3.906
517,2018,2,2.807
518,2018,3,1.242
519,2018,4,2.359
520,2018,5,2.48
521,2018,6,3.243
522,2018,7,1.62
523,2018,8,3.183
524,2018,9,7.378
525,2018,10,3.702
526,2018,11,6.939
527,2018,12,3.382
528,2019,1,1.867
529,2019,2,4.266
530,2019,3,3.772
531,2019,4,1.668
532,2019,5,4.335
533,2019,6,6.545
534,2019,7,2.832
535,2019,8,6.589
536,2019,9,9.56
537,2019,10,4.984
538,2019,11,4.459
539,2019,12,1.829
540,2020,1,4.398
541,2020,2,2.208
542,2020,3,2.623
543,2020,4,2.455
544,2020,5,3.044
545,2020,6,7.262
546,2020,7,6.904
547,2020,8,3.234
548,2020,9,5.709
549,2020,10,7.677
550,2020,11,4.853
551,2020,12,5.752
