,year,month,value
248,1995,9,11.093
249,1995,10,8.668
250,1995,11,-0.563
251,1995,12,-6.503
252,1996,1,-5.173
253,1996,2,-6.617
254,1996,3,-0.808
255,1996,4,4.748
256,1996,5,8.4
257,1996,6,14.24
258,1996,7,15.894
259,1996,8,18.342
260,1996,9,10.175
261,1996,10,7.55
262,1996,11,0.293
263,1996,12,-4.397
264,1997,1,-4.239
265,1997,2,-0.593
266,1997,3,2.034
267,1997,4,4.908
268,1997,5,9.247
269,1997,6,16.285
270,1997,7,19.529
271,1997,8,20.456
272,1997,9,12.242
273,1997,10,4.566
274,1997,11,1.442
275,1997,12,-1.121
276,1998,1,-1.066
277,1998,2,1.045
278,1998,3,0.353
279,1998,4,4.187
280,1998,5,11.532
281,1998,6,13.247
282,1998,7,15.469
283,1998,8,14.397
284,1998,9,12.407
285,1998,10,5.26
286,1998,11,-0.808
287,1998,12,-0.742
288,1999,1,-2.265
289,1999,2,-2.643
290,1999,3,0.206
291,1999,4,6.475
292,1999,5,9.476
293,1999,6,14.007
294,1999,7,17.368
295,1999,8,16.089
296,1999,9,14.183
297,1999,10,6.306
298,1999,11,4.058
299,1999,12,-2.645
300,2000,1,-0.594
301,2000,2,-0.726
302,2000,3,1.721
303,2000,4,6.067
304,2000,5,12.54
305,2000,6,13.558
306,2000,7,16.319
307,2000,8,15.397
308,2000,9,11.277
309,2000,10,9.482
310,2000,11,5.837
311,2000,12,1.366
312,2001,1,-3.077
313,2001,2,-5.439
314,2001,3,-1.95
315,2001,4,4.175
316,2001,5,11.818
317,2001,6,14.655
318,2001,7,17.737
319,2001,8,15.887
320,2001,9,11.632
321,2001,10,8.752
322,2001,11,2.055
323,2001,12,-3.206
324,2002,1,-3.016
325,2002,2,0.475
326,2002,3,1.871
327,2002,4,6.827
328,2002,5,12.856
329,2002,6,16.585
330,2002,7,17.424
331,2002,8,20.342
332,2002,9,13.143
333,2002,10,3.426
334,2002,11,-1.218
335,2002,12,-5.806
336,2003,1,-4.06
337,2003,2,-2.959
338,2003,3,1.282
339,2003,4,5.857
340,2003,5,10.094
341,2003,6,16.352
342,2003,7,18.918
343,2003,8,17.445
344,2003,9,12.277
345,2003,10,3.726
346,2003,11,2.805
347,2003,12,0.402
348,2004,1,-3.945
349,2004,2,-1.655
350,2004,3,1.679
351,2004,4,7.345
352,2004,5,12.411
353,2004,6,14.307
354,2004,7,16.095
355,2004,8,18.035
356,2004,9,12.413
357,2004,10,6.426
358,2004,11,1.0
359,2004,12,0.285
360,2005,1,1.645
361,2005,2,-0.912
362,2005,3,-0.894
363,2005,4,6.835
364,2005,5,9.674
365,2005,6,14.427
366,2005,7,18.826
367,2005,8,15.897
368,2005,9,12.687
369,2005,10,7.51
370,2005,11,4.587
371,2005,12,-1.15
372,2006,1,-2.411
373,2006,2,-3.132
374,2006,3,-3.3
375,2006,4,4.583
376,2006,5,11.942
377,2006,6,15.972
378,2006,7,20.073
379,2006,8,18.06
380,2006,9,15.02
381,2006,10,8.505
382,2006,11,4.038
383,2006,12,2.469
384,2007,1,-0.884
385,2007,2,-3.191
386,2007,3,4.148
387,2007,4,7.547
388,2007,5,10.86
389,2007,6,16.992
390,2007,7,16.05
391,2007,8,16.56
392,2007,9,10.997
393,2007,10,6.956
394,2007,11,1.497
395,2007,12,-1.434
396,2008,1,0.852
397,2008,2,1.888
398,2008,3,0.894
399,2008,4,6.613
